Measurement from:2019-10-16 12:40:02

Timestamp;CANID;Data [A]

430433.559392;897;1.4697265625[ A]
430433.559947;898;2.5830078125[ A]
430433.560672;899;1.357421875[ A]
430433.561227;900;1.630859375[ A]
430433.660297;897;1.474609375[ A]
430433.661065;899;1.4111328125[ A]
430433.661449;898;2.578125[ A]
430433.662942;900;1.6064453125[ A]
430433.760946;897;1.4404296875[ A]
430433.761928;898;2.5830078125[ A]
430433.762226;899;1.40625[ A]
430433.764061;900;1.5966796875[ A]
430433.861979;897;1.435546875[ A]
430433.863174;899;1.4208984375[ A]
430433.863473;898;2.5634765625[ A]
430433.864966;900;1.630859375[ A]
430433.962842;897;1.4501953125[ A]
430433.963866;899;1.3720703125[ A]
430433.964804;898;2.5732421875[ A]
430433.967108;900;1.6064453125[ A]
430434.063747;897;1.4599609375[ A]
430434.064941;899;1.40625[ A]
430434.065624;898;2.578125[ A]
430434.068141;900;1.6015625[ A]
430434.164737;897;1.474609375[ A]
430434.165975;899;1.3916015625[ A]
430434.166828;898;2.5537109375[ A]
430434.169132;900;1.6064453125[ A]
430434.265707;897;1.435546875[ A]
430434.266688;899;1.38671875[ A]
430434.267627;898;2.568359375[ A]
430434.269803;900;1.6015625[ A]
430434.366783;897;1.4404296875[ A]
430434.367593;899;1.376953125[ A]
430434.368532;898;2.55859375[ A]
430434.370879;900;1.5966796875[ A]
430434.469736;897;1.455078125[ A]
430434.470333;899;1.3720703125[ A]
430434.470504;898;2.5927734375[ A]
430434.471912;900;1.6064453125[ A]
430434.571452;897;1.4599609375[ A]
430434.57175;898;2.568359375[ A]
430434.572177;899;1.396484375[ A]
430434.573414;900;1.5966796875[ A]
430434.674405;897;1.455078125[ A]
430434.674831;898;2.5537109375[ A]
430434.675215;899;1.38671875[ A]
430434.675642;900;1.58203125[ A]
430434.775267;897;1.4404296875[ A]
430434.775566;898;2.5732421875[ A]
430434.776334;899;1.3818359375[ A]
430434.776547;900;1.62109375[ A]
430434.876257;897;1.4501953125[ A]
430434.876471;898;2.568359375[ A]
430434.877153;899;1.4111328125[ A]
430434.877793;900;1.6064453125[ A]
430434.977333;897;1.46484375[ A]
430434.977632;898;2.5634765625[ A]
430434.9784;900;1.6064453125[ A]
430434.978741;899;1.396484375[ A]
430435.078281;897;1.4306640625[ A]
430435.078622;898;2.568359375[ A]
430435.079348;900;1.6064453125[ A]
430435.08195;899;1.4404296875[ A]
430435.179186;897;1.4208984375[ A]
430435.179399;898;2.55859375[ A]
430435.180637;900;1.5771484375[ A]
430435.183623;899;1.4453125[ A]
430435.280134;897;0.6005859375[ A]
430435.280518;898;0.5029296875[ A]
430435.281968;900;4.9462890625[ A]
430435.284614;899;5.0732421875[ A]
430435.381112;897;8.80859375[ A]
430435.38141;898;7.1337890625[ A]
430435.383202;900;12.7001953125[ A]
430435.384866;899;11.953125[ A]
430435.482017;898;6.30859375[ A]
430435.482358;897;7.978515625[ A]
430435.484449;900;10.0244140625[ A]
430435.485985;899;10.41015625[ A]
430435.582964;897;5.8984375[ A]
430435.583306;898;4.9853515625[ A]
430435.58497;900;6.7724609375[ A]
430435.586762;899;6.3671875[ A]
430435.68404;897;6.572265625[ A]
430435.684979;898;5.2001953125[ A]
430435.685875;900;5.4638671875[ A]
430435.687837;899;5.5908203125[ A]
430435.785927;897;2.2900390625[ A]
430435.786225;898;2.0556640625[ A]
430435.787292;900;1.0888671875[ A]
430435.7887;899;1.26953125[ A]
430435.886789;897;0.91796875[ A]
430435.88713;898;0.7763671875[ A]
430435.88777;900;1.0693359375[ A]
430435.889733;899;0.83984375[ A]
430435.987481;897;2.5244140625[ A]
430435.987694;898;1.8603515625[ A]
430435.988718;900;0.595703125[ A]
430435.990638;899;0.9375[ A]
430436.088599;897;3.720703125[ A]
430436.088941;898;4.1455078125[ A]
430436.089879;900;5.625[ A]
430436.091842;899;5.6494140625[ A]
430436.18959;897;6.1962890625[ A]
430436.190059;898;6.9970703125[ A]
430436.190742;900;6.3427734375[ A]
430436.192448;899;6.4697265625[ A]
430436.290495;897;2.822265625[ A]
430436.290836;898;3.4765625[ A]
430436.291689;900;2.4365234375[ A]
430436.293567;899;2.255859375[ A]
430436.391472;897;3.6083984375[ A]
430436.391814;898;4.169921875[ A]
430436.392838;900;2.7978515625[ A]
430436.394288;899;2.71484375[ A]
430436.492378;897;3.5498046875[ A]
430436.492719;898;4.4189453125[ A]
430436.493828;900;3.02734375[ A]
430436.495279;899;2.7734375[ A]
430436.593624;898;9.560546875[ A]
430436.593923;897;9.0234375[ A]
430436.595544;900;8.1396484375[ A]
430436.596269;899;8.212890625[ A]
430436.694401;897;8.095703125[ A]
430436.694657;898;9.033203125[ A]
430436.696492;900;7.2802734375[ A]
