Measurement from:2019-10-16 11:52:39

Timestamp;CANID;Data

427582.625243;897;-8
427582.62584;898;-3
427582.626352;899;-1
427582.626907;900;-1
427582.725977;897;3
427582.726958;899;-5
427582.7273;898;1
427582.729134;900;-2
427582.826797;897;-2
427582.827821;899;4
427582.828759;898;0
427582.831063;900;0
427582.927659;897;-2
427582.928854;899;0
427582.929622;898;1
427582.931798;900;-1
427583.029332;897;-8
427583.029759;899;-1
427583.030783;898;-1
427583.032831;900;-1
427583.130707;899;-5
427583.131005;897;1
427583.131645;898;1
427583.133608;900;1
427583.231813;897;1
427583.232026;899;-1
427583.23305;898;-2
427583.2345;900;0
427583.33259;899;-1
427583.333016;897;-4
427583.333656;898;3
427583.335406;900;-1
427583.43358;899;0
427583.434007;897;0
427583.434348;898;-5
427583.436951;900;-1
427583.534357;897;0
427583.534741;899;-2
427583.535509;898;0
427583.537514;900;-3
427583.635433;897;-1
427583.635774;899;6
427583.636201;898;0
427583.638334;900;-3
427583.736253;897;-3
427583.736594;899;-2
427583.737234;898;4
427583.739154;900;0
427583.837243;897;2
427583.837584;899;1
427583.838224;898;-1
427583.840187;900;-1
427583.938276;897;0
427583.938575;899;0
427583.939172;898;1
427583.941177;900;2
427584.039224;897;6
427584.039651;899;1
427584.040333;898;-5
427584.04204;900;-4
427584.140129;897;5
427584.140428;899;-4
427584.141068;898;-5
427584.143073;900;-2
427584.241119;897;0
427584.241418;899;5
427584.241845;898;0
427584.244661;900;0
427584.341993;897;-4
427584.342292;899;0
427584.343102;898;0
427584.345961;900;-1
427584.443026;899;9
427584.443282;897;-6
427584.443879;898;-3
427584.446909;900;4
427584.543974;897;-2
427584.544187;899;-1
427584.544827;898;0
427584.547856;900;3
427584.644836;899;-1
427584.645391;897;0
427584.645817;898;-2
427584.648804;900;-3
427584.745827;897;-2
427584.746083;899;4
427584.746851;898;-1
427584.749837;900;-2
