Measurement from:2019-10-16 12:40:02

Timestamp;CANID;Data [P]

430433.561867;913;81838[ P]
430433.562464;914;75558[ P]
430433.562763;915;83555[ P]
430433.563232;916;73013[ P]
430433.664436;913;81838[ P]
430433.664606;914;75558[ P]
430433.665332;915;83555[ P]
430433.66563;916;73013[ P]
430433.765085;913;81838[ P]
430433.765341;914;75558[ P]
430433.766109;915;83555[ P]
430433.767005;916;73013[ P]
430433.865905;913;81838[ P]
430433.866971;914;75558[ P]
430433.867697;915;83555[ P]
430433.868465;916;73013[ P]
430433.966767;913;81838[ P]
430433.968132;914;75557[ P]
430433.968772;916;73013[ P]
430433.96937;915;83555[ P]
430434.067885;913;81838[ P]
430434.068739;914;75557[ P]
430434.070061;915;83555[ P]
430434.071213;916;73013[ P]
430434.168748;913;81838[ P]
430434.169815;914;75557[ P]
430434.171862;915;83555[ P]
430434.172886;916;73013[ P]
430434.269632;913;81838[ P]
430434.270784;914;75556[ P]
430434.272747;915;83555[ P]
430434.273686;916;73013[ P]
430434.371348;913;81838[ P]
430434.371689;914;75556[ P]
430434.374676;916;73013[ P]
430434.374975;915;83555[ P]
430434.473362;914;75556[ P]
430434.473704;913;81838[ P]
430434.47541;915;83555[ P]
430434.475794;916;73013[ P]
430434.574481;914;75556[ P]
430434.575249;913;81838[ P]
430434.579473;915;83555[ P]
430434.580113;916;73013[ P]
430434.676026;913;81838[ P]
430434.676367;914;75555[ P]
430434.681999;915;83555[ P]
430434.682596;916;73013[ P]
430434.777144;913;81838[ P]
430434.777528;914;75555[ P]
430434.782563;915;83555[ P]
430434.783288;916;73013[ P]
430434.878604;913;81838[ P]
430434.879159;914;75555[ P]
430434.883127;915;83555[ P]
430434.884236;916;73013[ P]
430434.979424;913;81838[ P]
430434.980619;914;75555[ P]
430434.984245;915;83555[ P]
430434.985525;916;73013[ P]
430435.082548;913;81838[ P]
430435.082761;914;75555[ P]
430435.085236;915;83555[ P]
430435.086388;916;73013[ P]
430435.183239;914;75554[ P]
430435.18405;913;81838[ P]
430435.186482;915;83555[ P]
430435.187677;916;73013[ P]
430435.28423;914;75749[ P]
430435.284998;913;82168[ P]
430435.288155;915;83792[ P]
430435.289264;916;73256[ P]
430435.385208;914;79816[ P]
430435.386231;913;86064[ P]
430435.388962;915;87883[ P]
430435.390071;916;77304[ P]
430435.486198;914;90652[ P]
430435.487009;913;96988[ P]
430435.490166;915;99135[ P]
430435.491147;916;88744[ P]
430435.587103;914;107460[ P]
430435.588127;913;114018[ P]
430435.590943;915;116538[ P]
430435.593119;916;106396[ P]
430435.688179;914;129213[ P]
430435.689075;913;135816[ P]
430435.691933;915;138735[ P]
430435.693811;916;128583[ P]
430435.788999;914;152812[ P]
430435.789852;913;159516[ P]
430435.793009;915;162666[ P]
430435.795057;916;152601[ P]
430435.890586;914;176460[ P]
430435.89144;913;183206[ P]
430435.893872;915;186213[ P]
430435.895664;916;176137[ P]
430435.991705;913;205552[ P]
430435.99179;914;199111[ P]
430435.994734;915;208651[ P]
430435.996697;916;198554[ P]
430436.09261;913;225262[ P]
430436.092908;914;218907[ P]
430436.097516;915;228663[ P]
430436.0979;916;218182[ P]
430436.193686;913;239198[ P]
430436.193771;914;232803[ P]
430436.198549;916;231332[ P]
430436.198763;915;241924[ P]
430436.294548;913;246208[ P]
430436.295401;914;239862[ P]
430436.299497;916;238026[ P]
430436.299881;915;248549[ P]
430436.395654;913;248347[ P]
430436.396379;914;241942[ P]
430436.40056;915;250397[ P]
430436.400816;916;239871[ P]
430436.496473;913;247291[ P]
430436.497327;914;240920[ P]
430436.501551;915;249203[ P]
430436.501892;916;238742[ P]
430436.597251;913;242156[ P]
430436.598531;914;235717[ P]
430436.602669;916;233334[ P]
430436.603096;915;243808[ P]
430436.69854;913;230546[ P]
430436.700289;914;223973[ P]
430436.703361;916;221505[ P]
430436.703702;915;231826[ P]
430436.799274;913;213130[ P]
430436.801365;914;206352[ P]
430436.804266;915;214257[ P]
430436.804607;916;203805[ P]
430436.900478;913;190373[ P]
430436.902142;914;183788[ P]
430436.905171;915;191501[ P]
430436.905555;916;181102[ P]
430437.001468;913;166475[ P]
430437.004156;914;159582[ P]
430437.005991;915;167551[ P]
430437.006332;916;157309[ P]
430437.101989;913;143424[ P]
430437.105019;914;136484[ P]
430437.107067;916;133980[ P]
430437.107621;915;144105[ P]
430437.203022;913;123572[ P]
430437.205881;914;116928[ P]
430437.2081;915;124551[ P]
430437.208313;916;114237[ P]
430437.30444;913;109365[ P]
430437.306957;914;102948[ P]
430437.308877;915;110517[ P]
430437.309261;916;100136[ P]
430437.405139;913;101867[ P]
430437.407998;914;95504[ P]
430437.409875;915;103146[ P]
430437.410302;916;92713[ P]
430437.505788;913;99131[ P]
430437.508732;914;92915[ P]
430437.510908;915;100622[ P]
430437.511249;916;90208[ P]
430437.607802;913;101602[ P]
430437.609893;914;95469[ P]
430437.611813;916;92869[ P]
430437.61224;915;103334[ P]
430437.709177;913;109938[ P]
430437.710756;914;103852[ P]
430437.71259;915;111960[ P]
430437.712889;916;101578[ P]
430437.809655;913;123709[ P]
430437.811575;914;117648[ P]
430437.813495;915;126199[ P]
430437.813794;916;115808[ P]
